Name,Description,Categories,Lokasi
Legian Restaurant,"destinasi kuliner keluarga yang telah melegenda, dikenal dengan hidangan khas Nusantara, terutama masakan Jawa dan seafood yang lezat serta kaya rasa. Restoran ini menawarkan suasana yang luas dan nyaman dengan konsep tradisional, seringkali dilengkapi area duduk lesehan, ideal untuk santap bersama rombongan atau acara keluarga. Selain menyajikan berbagai olahan ayam, ikan, dan sayur, Legian Restaurant juga populer dengan pilihan lauk-pauk prasmanan yang beragam, memungkinkan pengunjung menikmati hidangan favorit dalam porsi sesuai selera.","Seafood restaurant, Balinese restaurant, Chinese restaurant",Jember
Grand Panglima Resto,"restoran keluarga yang menawarkan hidangan seafood segar dan masakan Indonesia autentik dalam suasana yang nyaman dan cocok untuk segala acara. Restoran ini dikenal dengan beragam pilihan olahan ikan bakar, udang, kepiting, dan cumi, yang diolah dengan bumbu khas sehingga menghasilkan cita rasa lezat dan porsi melimpah. Dengan area makan yang luas dan fasilitas yang lengkap, Grand Panglima Resto menjadi pilihan favorit untuk santap bersama keluarga besar atau acara-acara spesial.","Seafood, Masakan Indonesia, Keluarga, Tradisional, Casual Dining",Kota Kediri
Bawang Mas Cafe & Resto Kediri," destinasi kuliner dan tempat nongkrong yang menyajikan perpaduan hidangan Indonesia dan Western dalam suasana modern minimalis dengan sentuhan Jawa yang hangat. Tempat ini dikenal dengan area indoor dan outdoor yang luas dan nyaman, seringkali dilengkapi dengan hiburan live music atau fasilitas playground untuk anak, menjadikannya pilihan ideal untuk keluarga maupun pertemuan santai. Dengan menu beragam mulai dari nasi goreng, bakmi, hingga pasta dan aneka kopi, Bawang Mas menawarkan pengalaman bersantap yang lengkap untuk segala selera.","Cafe, Restoran, Masakan Indonesia, Western, Kopi, Keluarga, Live Music, Modern",Kota Kediri
AMA cafe and resto,"sebuah destinasi kuliner modern yang menawarkan suasana nyaman dan estetis, ideal untuk bekerja, bersantai, atau berkumpul bersama teman dan keluarga. Restoran ini menyajikan beragam hidangan, mulai dari cita rasa Indonesia autentik, Western klasik, hingga sentuhan kuliner Asia, dilengkapi dengan pilihan kopi dan minuman segar yang melimpah. Dengan desain interior yang minimalis namun hangat dan seringkali dilengkapi area outdoor yang menawan, AMA Cafe and Resto menciptakan pengalaman bersantap yang santai namun tetap stylish.","Cafe, Restoran, Western, Indonesian, Asian, Kopi, Modern, Casual Dining, Working Space",Kota Kediri
Pandan Kediri Resto & Cafe,"destinasi kuliner yang menawarkan perpaduan hidangan khas Indonesia dan Western dalam suasana modern yang luas dan nyaman. Tempat ini dikenal dengan area indoor dan outdoor yang didesain estetik, cocok untuk bersantai, bekerja, atau berkumpul bersama keluarga maupun teman, seringkali dilengkapi fasilitas live music atau playground. Dengan beragam pilihan menu mulai dari sajian lokal hingga pasta dan kopi, Pandan Kediri Resto & Cafe menyediakan pengalaman bersantap lengkap yang disesuaikan dengan berbagai selera.","Cafe, Restoran, Masakan Indonesia, Western, Kopi, Keluarga, Live Music, Modern",Kota Kediri
Resto Keboen Rodjo,"rumah makan dengan konsep Jawa yang unik di Kediri, menawarkan pengalaman bersantap di saung-saung lesehan yang dikelilingi taman asri dan kolam ikan. Restoran ini terkenal dengan hidangan khas Indonesia, khususnya olahan seafood segar seperti gurame dengan berbagai saus, serta aneka masakan ayam dan bebek, yang disajikan dengan cita rasa autentik dan porsi besar. Dengan suasana pedesaan yang menenangkan dan fasilitas lengkap, Keboen Rodjo menjadi pilihan ideal untuk menikmati kuliner tradisional bersama keluarga besar atau acara spesial.","Masakan Indonesia, Seafood, Jawa, Tradisional, Keluarga, Lesehan, Casual Dining",Kota Kediri
Fox Steak House & Coffee Shop Kediri,"restoran yang berlokasi di dalam Lotus Garden Hotel, menawarkan pengalaman bersantap yang memadukan hidangan steak Western berkualitas dengan suasana kedai kopi yang nyaman. Restoran ini menyajikan beragam pilihan steak mulai dari chicken steak, fish steak, hingga premium tenderloin dan wagyu, dilengkapi dengan berbagai pilihan pasta, dessert, dan minuman kopi. Dengan suasana yang elegan namun tetap santai, Fox Steak House & Coffee Shop menjadi pilihan ideal untuk menikmati hidangan Western yang lezat atau sekadar bersantai sambil menikmati kopi.","Steakhouse, Coffee Shop, Western, Cafe, Casual Dining, Hotel Restaurant",Kota Kediri
Golden Restaurant,"restoran legendaris yang telah beroperasi sejak tahun 1993, dikenal sebagai spesialis kuliner Asia, terutama masakan Tiongkok. Terletak di Golden Swalayan, restoran ini menawarkan berbagai hidangan halal dan non-halal, serta sajian yam cha atau dim sum khusus setiap hari Minggu pagi. Dengan reputasi sebagai salah satu restoran Tiongkok paling populer di Kediri, Golden Restaurant menjadi pilihan utama untuk menikmati hidangan Asia autentik dalam suasana yang telah menjadi bagian dari sejarah kuliner kota.","Chinese Food, Asia, Dim Sum, Legendaris, Keluarga, Casual Dining",Kota Kediri
Bakso Barokah 313,"warung bakso legendaris yang telah berdiri sejak tahun 1985, terkenal dengan konsistensi rasa baksonya yang menggunakan daging sapi asli dan kuah gurih. Tempat ini memiliki area yang luas dan nyaman, seringkali ramai pengunjung dari berbagai kalangan, menjadikannya destinasi kuliner favorit di pusat Kota Kediri. Selain bakso dengan berbagai varian seperti bakso jumbo, kerikil, dan kikil, mereka juga menawarkan minuman segar dan makanan pendamping seperti tahu takwa dan ote-ote khas Kediri.","Bakso, Masakan Indonesia, Legendaris, Casual Dining, Keluarga",Kota Kediri
"Soto Ayam Pakelan ""Ny Sien""","salah satu legenda kuliner di Kediri yang terkenal dengan soto ayam kampung berkuah bening kaya rasa, disajikan dengan irisan daging ayam melimpah dan taburan koya gurih. Keunikan soto ini terletak pada cita rasa kaldu ayam kampung yang autentik dan aroma bumbu rempah yang kuat, membedakannya dari soto ayam lainnya. Dengan suasana warung makan tradisional yang sederhana dan selalu ramai, Soto Ayam Pakelan ""Ny Sien"" menawarkan pengalaman bersantap yang tak lekang oleh waktu dan menjadi favorit banyak generasi.","Soto, Masakan Indonesia, Masakan Jawa, Tradisional, Legendaris",Kota Kediri
Rumah Makan Cokro,"restoran yang populer dan seringkali ramai pengunjung. Mereka menawarkan berbagai hidangan, termasuk bebek goreng kremes, nasi lalapan ayam, iga bakar, sop buntut, dan mie yamin. Restoran ini dikenal dengan hidangan lezat dan suasana yang nyaman, menjadikannya pilihan yang direkomendasikan untuk pecinta kuliner di Lamongan.","Masakan Indonesia, Bebek Goreng, Ayam Goreng, Iga Bakar, Mie, Keluarga, Casual Dining",Lamongan
Serenarasa,"Serenarasa di Lamongan adalah sebuah kafe dan restoran yang menawarkan suasana nyaman dan luas, cocok untuk nongkrong, mengerjakan tugas, atau bekerja dari kafe. Mereka menyediakan beragam pilihan menu, mulai dari hidangan khas Nusantara hingga hidangan kekinian. Beberapa menu yang ditawarkan antara lain Ricebowl Kreasi Rasa (Ayam Sunda Sambal Kecombrang, Sei Sapi Kailan Crispy, Ayam Panggang Bumbu Rujak), Serasa Tjahaja Asia (Gyudon Sambal Matah, Signature Dry Ramen, Nasi Goreng Oriental), dan Serasa Sajian Barat (Shortplate Carbonara, Chicken Aglio Olio, Baked Meatball Bolognese). Serenarasa berlokasi di Tumenggungan, Beringin, Kota, Kabupaten Lamongan dan buka setiap hari pukul 08.30 – 22.00 WIB.","Kafe, Restoran, Masakan Indonesia, Masakan Asia, Masakan Barat, Casual Dining",Lamongan
Aneka Sambel Lamongan,"Aneka Sambel Lamongan adalah destinasi kuliner khas Lamongan yang sangat populer dengan beragam pilihan sambal pedas segar, menjadi daya tarik utama bagi para pecinta masakan pedas. Restoran ini menyajikan aneka lauk-pauk pendamping yang digoreng atau dibakar, seperti ayam, bebek, lele, tempe, dan tahu, yang pas disantap dengan nasi hangat dan sambal pilihan Anda. Dengan suasana warung makan yang sederhana namun selalu ramai, Aneka Sambel Lamongan menawarkan pengalaman bersantap yang merakyat dan autentik.","Masakan Indonesia, Masakan Jawa, Sambal, Pedas, Ayam Goreng, Bebek Goreng, Lele Goreng, Tradisional, Casual Dining",Lamongan
Hotway's Chicken Lamongan,"restoran ayam goreng krispi yang terkenal dengan varian pedas Nashville. Mereka menawarkan berbagai paket menu yang mencakup ayam krispi, nasi, scramble egg, dan crispy spinach. Beberapa pilihan menu ayam yang tersedia adalah Crispy Original, Geprek, Spicy, Nashville, dan Hot Gulai, dengan berbagai potongan seperti dada, paha atas, paha bawah, dan sayap.","Ayam Goreng, Fast Food, Pedas, Nashville Chicken, Casual Dining",Lamongan
"Ayam & Bebek ""Jendral""","destinasi kuliner favorit yang dikenal dengan sajian ayam dan bebek goreng maupun bakar yang bumbunya meresap sempurna hingga ke tulang. Restoran ini menonjolkan cita rasa khas Lamongan yang kaya rempah, seringkali disajikan dengan sambal pedas yang dibuat segar dan lalapan renyah sebagai pelengkap utama. Dengan suasana warung makan yang nyaman dan kapasitas yang memadai, Ayam & Bebek ""Jendral"" menjadi pilihan ideal untuk menikmati hidangan ayam dan bebek autentik yang lezat bersama keluarga atau teman.","Ayam Goreng, Bebek Goreng, Masakan Indonesia, Masakan Jawa, Tradisional, Casual Dining",Lamongan
Cafe D'KOTA Sunan Drajat,"salah satu cabang dari D'KOTA Cafe & Co - Working Space di Lamongan. Lokasinya berada di Jalan Sunan Drajat, dekat dengan bekas kantor PLN lama Lamongan. Kafe ini menawarkan suasana yang nyaman dan cocok untuk berbagai aktivitas, termasuk bekerja atau sekadar bersantai.","Kafe, Co-working Space, Masakan Indonesia, Minuman, Casual Dining",Sidoharjo
Ayam Goreng Pemuda,Ayam Goreng Pemuda Madiun berkomitmen untuk menjadi Indonesian Restaurant yang modern dengan menyediakan aneka macam menu khas Indonesia yang dapat disukai oleh konsumennya dari berbagai kalangan.,"Fried chicken takeaway, Chicken restaurant, Indonesian restaurant",Kota Madiun
Ayam Goreng Kemangi,"Casual restaurant offering traditional cuisine like fried chicken, plus seafood, beef & tofu dishes.","Family restaurant, Chicken restaurant, Fried chicken takeaway, Javanese restaurant",Kota Madiun
Srasadesa (Sego Sambel),"Restaurant dengan suasana desa di tengah kota, spesialis sambel dan makanan nusantara","Indonesian restaurant, Family restaurant, National reserve",Kota Madiun
Lombok Idjo Madiun,"Rumah makan bernuansa Jawa dengan interior modern, menyajikan aneka menu ayam goreng yg fresh.","Javanese restaurant, Chicken restaurant, Indonesian restaurant, Restaurant",Kota Madiun
Haopeng Kopitiam Madiun ,"Chinese food, cafe",Restaurant,Kota Madiun
OMAH CABE Madiun,"masakan nusantara, tempat bermain anak",Restaurant,Kota Madiun
Nasi Pecel Pojok Madiun,Pecel madiun,"Javanese restaurant, Breakfast restaurant, Indonesian restaurant, Restaurant, Tofu restaurant",Kota Madiun
Waroeng Latte,Kuliner steak dan food street,"Restaurant, Cafe, Coffee shop, Diner, Steak house",Kota Madiun
Javanine Resto,"Family Restaurant, Indonesian Food, F&B Cathering, Meeting Room, Coffee",Javanese restaurant,Kota Malang
Harmoni Cafe and Resto,"Relaxed, airy eatery serving regional fare such as noodles & rice dishes, plus juices & shakes.","Indonesian restaurant, Breakfast restaurant",Kota Malang
Depot Gang Djangkrik Kawi Atas Malang,"Chinese food, non halal","Chinese restaurant, Diner, Indonesian restaurant, Noodle shop, Restaurant",Kota Malang
Niki Kopitiam,"Relaxed restaurant with a leafy terrace offering regional cuisine, plus Chinese options.",Family restaurant,Kota Malang
Hok Lay Restaurant,"Masakan Cina halal dan cita rasa lokal, terutama lumpia (Lumpia/Loenpia), cwie mie, dan minuman khas Fosco (susu coklat)","Noodle shop, Diner",Kota Malang
signora pasta malang,"Italia,Pizza, Pasta","Italian restaurant, Family restaurant, Halal restaurant",Kota Malang
Simpang Luwe Cafe & Resto,Tempat makan yg menyajikan hidangan menu berkonsep unik serta aneka makanan ringan dan kopi mataram.,"Javanese restaurant, Restaurant",Kota Malang
Rumah Makan Kertanegara,"Restoran yang memiliki variasi menu bercitarasa Indonesia, juga ruangan meeting, wifi, dan live musik.","Indonesian restaurant, Restaurant",Kota Malang
Gang Djangkrik Restaurant,"Unpretentious restaurant showcasing dim sum, congee & Chinese cuisine in a traditional dining area.","Chinese restaurant, Indonesian restaurant, Noodle shop",Kota Malang
Ayam Goreng Tenes,"Family Restaurant, ayam, seafood","Fried chicken takeaway, Chicken restaurant, Fast food restaurant, Restaurant",Kota Malang
Arumanis Restaurant,"restoran yang terletak di Bumi Surabaya City Resort. Restoran ini menawarkan pengalaman bersantap all-you-can-eat dengan beragam hidangan, mulai dari masakan Indonesia otentik (termasuk hidangan khas Jawa Timur), masakan Tiongkok, hingga hidangan Western dan Jepang. Arumanis dikenal dengan konsep uniknya yang menyerupai ""pasar malam"" atau ""pasar tradisional"" dengan berbagai stall atau gerobak makanan yang menyajikan hidangan segar dan dimasak langsung. Suasana di restoran ini nyaman dan sering diiringi musik tradisional Jawa, menjadikannya pilihan populer untuk sarapan, makan siang, atau makan malam, terutama untuk keluarga.","All-You-Can-Eat, Indonesia, Chinese, Japanese, Western, Hotel Restaurant, Keluarga.",Surabaya
Apeng Kwetiau Medan - Kedung Doro,"restoran legendaris yang sangat terkenal dengan hidangan kwetiau khas Medan yang otentik dan lezat, seringkali membuat pengunjung rela mengantre panjang. Restoran ini spesialis dalam menyajikan kwetiau goreng, kwetiau siram, dan bakmi dengan pilihan topping babi, ayam, atau seafood, yang semuanya dimasak dengan bumbu khas dan porsi melimpah. Meskipun tempatnya sederhana dan seringkali ramai, Apeng Kwetiau Medan tetap menjadi tujuan utama bagi pecinta kuliner non-halal yang mencari cita rasa Medan yang kuat dan tak terlupakan di Surabaya.","Chinese, Kwetiau, Bakmi, Non-Halal, Seafood, Legendaris, Casual Dining",Surabaya
Kayanna Restaurant,Elegant Indonesian restaurant with plush cream dÃ©cor in a Dutch colonialâstyle building.,"Indonesian restaurant, Dutch restaurant, Soup shop, Western restaurant",Surabaya
Noor Ayla (Arabic Restaurant),"sebuah restoran yang menghadirkan pengalaman kuliner khas Timur Tengah autentik, dikenal dengan hidangan nasi rempah seperti Nasi Kebuli, Nasi Mandhi, dan Nasi Biryani yang disajikan dengan pilihan lauk ayam atau kambing. Restoran ini menawarkan suasana yang nyaman dan mewah dengan sentuhan dekorasi khas Arab, termasuk area lesehan dan ruang VIP, menjadikannya tempat ideal untuk santap bersama keluarga atau acara khusus. Selain hidangan nasi, Noor Ayla juga menyajikan menu pelengkap seperti Hummus, Roti Maryam, dan sup, memastikan pengalaman bersantap yang lengkap dan memuaskan.","Arabic, Timur Tengah, Nasi Kebuli, Nasi Mandhi, Nasi Biryani, Keluarga, Casual Dining",Surabaya
Ayam Bakar Primarasa,"Tempat makan yg menyajikan ayam bakar khas jawa, pepes bandeng tanpa duri, penyetan, dan lainnya.","Chicken restaurant, Javanese restaurant",Surabaya
Bon Ami Restaurant,"restoran keluarga legendaris yang telah berdiri sejak tahun 1993, terkenal dengan perpaduan hidangan khas Indonesia dan Western yang disajikan dalam suasana mewah, nyaman, dan instagramable. Restoran ini sangat populer dengan menu signature seperti Lidah Asin Mentega, Lontong Cap Go Meh, berbagai jenis steak, serta aneka roti dan kue dari Bon Ami Bakery yang menjadi favorit banyak pelanggan. Dengan beberapa cabang di Surabaya, Bon Ami menawarkan pengalaman bersantap yang berkesan, cocok untuk segala usia dan acara, menjadikannya pilihan utama bagi mereka yang mencari kualitas dan nostalgia","Family restaurant, Bakery, Indonesian restaurant, Steak house",Surabaya
